RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
1,"Marvin Harrison, WR",IND,143,0,"1,722",12.0,11,69,22,107.6,0,0,92
2,"Randy Moss, WR",MIN,106,0,"1,347",12.7,7,60,19,84.2,1,0,66
3,"Amani Toomer, WR",NYG,82,0,"1,343",16.4,8,82,24,83.9,0,0,59
4,"Hines Ward, WR",PIT,112,0,"1,329",11.9,12,72,19,83.1,1,0,66
5,"Plaxico Burress, WR",PIT,78,0,"1,325",17.0,7,62,21,82.8,2,0,64
6,"Joe Horn, WR",NO,88,0,"1,312",14.9,7,63,19,82.0,1,0,65
7,"Torry Holt, WR",STL,91,0,"1,302",14.3,4,58,17,81.4,1,0,69
8,"Terrell Owens, WR",SF,100,0,"1,300",13.0,13,76,17,92.9,0,0,61
9,"Eric Moulds, WR",BUF,100,0,"1,292",12.9,10,70,14,80.8,1,0,64
10,"Laveranues Coles, WR",NYJ,89,0,"1,264",14.2,5,43,19,79.0,1,0,67
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
11,"Peerless Price, WR",BUF,94,0,"1,252",13.3,9,73,16,78.3,2,0,57
12,"Koren Robinson, WR",SEA,78,0,"1,240",15.9,5,83,19,77.5,2,0,58
13,"Jerry Rice, WR",OAK,92,0,"1,211",13.2,7,75,12,75.7,1,0,59
14,"Marty Booker, WR",CHI,97,0,"1,189",12.3,6,54,20,74.3,0,0,54
15,"Chad Johnson, WR",CIN,69,0,"1,166",16.9,5,72,13,72.9,0,0,58
16,"Keyshawn Johnson, WR",TB,76,0,"1,088",14.3,5,76,14,68.0,0,0,53
17,"Isaac Bruce, WR",STL,79,0,"1,075",13.6,7,34,20,67.2,2,0,50
18,"Donald Driver, WR",GB,70,0,"1,064",15.2,9,85,15,66.5,1,0,47
19,"Jimmy Smith, WR",JAX,80,0,"1,027",12.8,7,47,15,64.2,0,0,53
 ,"Rod Smith, WR",DEN,89,0,"1,027",11.5,5,46,11,64.2,1,0,53
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
21,"Derrick Mason, WR",TEN,79,0,"1,012",12.8,5,40,12,72.3,1,0,56
22,"Rod Gardner, WR",WSH,71,0,"1,006",14.2,8,43,13,62.9,1,0,51
23,"Quincy Morgan, WR",CLE,56,0,964,17.2,7,78,17,60.3,2,0,34
24,"Charlie Garner, RB",OAK,91,0,941,10.3,4,69,8,58.8,0,0,44
25,"Tim Brown, WR",OAK,81,0,930,11.5,2,45,11,58.1,0,0,48
26,"Joey Galloway, WR",DAL,61,0,908,14.9,6,80,12,56.8,1,0,33
27,"Eddie Kennison, WR",KC,53,0,906,17.1,2,64,16,56.6,0,0,44
28,"Ed McCaffrey, WR",DEN,69,0,903,13.1,2,69,11,56.4,0,0,44
29,"Jeremy Shockey, TE",NYG,74,0,894,12.1,2,30,16,59.6,3,0,49
30,"Troy Brown, WR",NE,97,0,890,9.2,3,38,3,63.6,2,0,48
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
