PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Andre Johnson, WR",HOU,101,170,"1,569",15.5,9,72,22,98.1,1,532,69
"Wes Welker, WR",NE,123,162,"1,348",11.0,4,58,8,96.3,1,709,71
"Miles Austin, WR",DAL,81,125,"1,320",16.3,11,60,21,82.5,1,588,59
"Sidney Rice, WR",MIN,83,122,"1,312",15.8,8,63,19,82.0,1,358,59
"Randy Moss, WR",NE,83,138,"1,264",15.2,13,71,18,79.0,2,340,62
"Reggie Wayne, WR",IND,100,149,"1,264",12.6,10,65,20,79.0,0,426,73
"Santonio Holmes, WR",PIT,79,138,"1,248",15.8,5,57,21,78.0,0,491,63
"Steve Smith, WR",NYG,107,159,"1,220",11.4,7,51,14,76.3,0,237,61
"Hines Ward, WR",PIT,95,136,"1,167",12.3,6,54,15,72.9,2,415,56
"Vincent Jackson, WR",SD,68,107,"1,167",17.2,9,55,17,77.8,0,222,58
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Antonio Gates, TE",SD,79,114,"1,157",14.6,8,56,18,72.3,1,513,61
"DeSean Jackson, WR",PHI,62,117,"1,156",18.6,9,71,18,77.1,2,406,40
"Roddy White, WR",ATL,85,165,"1,153",13.6,11,90,13,72.1,1,371,54
"Brandon Marshall, WR",DEN,101,154,"1,120",11.1,10,75,11,74.7,0,503,56
"Greg Jennings, WR",GB,68,118,"1,113",16.4,4,83,16,69.6,0,465,48
"Dallas Clark, TE",IND,100,132,"1,106",11.1,10,80,11,69.1,1,491,59
"Larry Fitzgerald, WR",ARI,97,153,"1,092",11.3,13,34,12,68.3,0,285,69
"Marques Colston, WR",NO,70,106,"1,074",15.3,9,68,18,67.1,2,354,54
"Donald Driver, WR",GB,70,112,"1,061",15.2,6,71,15,66.3,2,372,49
"Chad Johnson, WR",CIN,72,128,"1,047",14.5,9,50,15,65.4,2,232,55
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Jason Witten, TE",DAL,94,125,"1,030",11.0,2,69,11,64.4,0,407,48
"Derrick Mason, WR",BAL,73,132,"1,028",14.1,7,72,9,64.3,0,260,55
"Anquan Boldin, WR",ARI,84,126,"1,024",12.2,4,44,10,68.3,3,355,49
"Calvin Johnson, WR",DET,67,136,984,14.7,5,75,15,70.3,3,334,46
"Steve Smith Sr., WR",CAR,65,130,982,15.1,7,66,15,65.5,1,315,41
"Brent Celek, TE",PHI,76,112,971,12.8,8,47,16,60.7,0,421,42
"Vernon Davis, TE",SF,78,129,965,12.4,13,73,13,60.3,0,327,40
"T.J. Houshmandzadeh, WR",SEA,79,135,911,11.5,3,53,11,56.9,2,271,52
"Santana Moss, WR",WSH,70,121,902,12.9,3,59,14,56.4,2,382,40
"Kellen Winslow, TE",TB,77,127,884,11.5,5,42,10,55.3,0,243,47
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Mike Sims-Walker, WR",JAX,63,110,869,13.8,7,61,12,57.9,2,244,43
"Tony Gonzalez, TE",ATL,83,135,867,10.4,6,27,4,54.2,0,211,54
"Terrell Owens, WR",BUF,55,109,829,15.1,5,98,9,51.8,1,245,33
"Mario Manningham, WR",NYG,57,99,822,14.4,5,49,15,58.7,1,256,41
"Jerricho Cotchery, WR",NYJ,57,96,821,14.4,3,53,13,58.6,0,289,44
"Nate Burleson, WR",SEA,63,103,812,12.9,3,44,10,62.5,2,274,42
"Zach Miller, TE",OAK,66,100,805,12.2,3,86,9,53.7,0,363,31
"Devery Henderson, WR",NO,51,83,804,15.8,2,75,11,50.3,0,283,33
"Percy Harvin, WR",MIN,60,91,790,13.2,6,51,12,52.7,1,358,42
"Hakeem Nicks, WR",NYG,47,75,790,16.8,6,68,13,56.4,2,411,32
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Heath Miller, TE",PIT,76,98,789,10.4,6,41,8,49.3,2,420,37
"Malcom Floyd, WR",SD,45,76,776,17.2,1,53,13,48.5,0,127,36
"Jeremy Maclin, WR",PHI,56,91,773,13.8,4,56,11,51.5,0,244,34
"Pierre Garcon, WR",IND,47,91,765,16.3,4,66,13,54.6,1,285,33
"Davone Bess, WR",MIA,76,113,758,10.0,2,34,6,47.4,2,309,48
"Devin Hester, WR",CHI,57,91,757,13.3,3,48,12,58.2,1,286,34
"Mike Wallace, WR",PIT,39,72,756,19.4,6,60,14,47.3,1,134,28
"Jabar Gaffney, WR",DEN,54,88,732,13.6,2,49,12,45.8,0,261,36
"Torry Holt, WR",JAX,51,103,722,14.2,0,63,6,48.1,1,112,35
"Robert Meachem, WR",NO,45,64,722,16.0,9,54,12,45.1,2,175,30
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Earl Bennett, WR",CHI,54,88,717,13.3,2,71,15,44.8,1,319,32
"Steve Breaston, WR",ARI,55,82,712,12.9,3,45,12,47.5,0,163,33
"Ray Rice, RB",BAL,78,103,702,9.0,1,63,7,43.9,1,752,28
"Kenny Britt, WR",TEN,42,75,701,16.7,3,57,10,43.8,1,176,34
"Jermichael Finley, TE",GB,55,71,676,12.3,5,62,9,52.0,1,296,29
"Austin Collie, WR",IND,60,90,676,11.3,7,39,11,42.3,0,248,37
"Michael Jenkins, WR",ATL,50,90,635,12.7,1,50,12,42.3,0,118,29
"Michael Crabtree, WR",SF,48,86,625,13.0,2,50,10,56.8,1,196,27
"Mohamed Massaquoi, WR",CLE,34,94,624,18.4,3,59,11,39.0,1,161,24
"Patrick Crayton, WR",DAL,37,67,622,16.8,5,80,8,38.9,0,267,27
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Bernard Berrian, WR",MIN,55,92,618,11.2,4,40,5,38.6,0,200,35
"Lee Evans, WR",BUF,44,95,612,13.9,7,50,10,38.3,0,94,27
"Greg Olsen, TE",CHI,60,108,612,10.2,8,41,9,38.3,0,178,33
"Kevin Walter, WR",HOU,53,70,611,11.5,2,41,7,43.6,0,117,33
"Chris Chambers, WR",KC/SD,36,61,608,16.9,4,61,10,67.6,0,158,25
"Antonio Bryant, WR",TB,39,86,600,15.4,4,42,14,46.2,0,137,25
"Roy Williams, WR",DAL,38,88,596,15.7,7,66,9,39.7,1,208,29
"Todd Heap, TE",BAL,53,75,593,11.2,6,31,10,37.1,0,180,33
