PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Chris Johnson, RB",TEN,358,"2,006",5.6,91,22,14,125.4,3,79
"Steven Jackson, RB",STL,324,"1,416",4.4,58,10,4,94.4,2,61
"Thomas Jones, RB",NYJ,331,"1,402",4.2,71,8,14,87.6,2,64
"Maurice Jones-Drew, RB",JAX,312,"1,391",4.5,80,8,15,86.9,2,68
"Adrian Peterson, RB",MIN,314,"1,383",4.4,64,12,18,86.4,6,74
"Ray Rice, RB",BAL,254,"1,339",5.3,59,11,7,83.7,2,54
"Ryan Grant, RB",GB,282,"1,253",4.4,62,8,11,78.3,0,61
"Cedric Benson, RB",CIN,301,"1,251",4.2,42,10,6,96.2,1,57
"Jonathan Stewart, RB",CAR,221,"1,133",5.1,67,11,10,70.8,3,54
"Ricky Williams, RB",MIA,241,"1,121",4.7,68,4,11,70.1,4,55
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Frank Gore, RB",SF,229,"1,120",4.9,80,11,10,80.0,4,47
"Jamaal Charles, RB",KC,190,"1,120",5.9,76,9,7,74.7,2,54
"DeAngelo Williams, RB",CAR,216,"1,117",5.2,77,7,7,85.9,3,51
"Rashard Mendenhall, RB",PIT,242,"1,108",4.6,60,9,7,69.3,3,48
"Fred Jackson, RB",BUF,237,"1,062",4.5,43,5,2,66.4,2,43
"Knowshon Moreno, RB",DEN,247,947,3.8,36,2,7,59.2,2,52
"Marion Barber, RB",DAL,214,932,4.4,35,5,7,62.1,1,58
"Matt Forte, RB",CHI,258,929,3.6,61,3,4,58.1,5,39
"Michael Turner, RB",ATL,178,871,4.9,58,9,10,79.2,4,43
"Jerome Harrison, RB",CLE,194,862,4.4,71,3,5,61.6,2,37
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Brandon Jacobs, RB",NYG,224,835,3.7,31,2,5,55.7,2,43
"Joseph Addai, RB",IND,219,828,3.8,21,2,10,55.2,1,44
"Cadillac Williams, RB",TB,211,823,3.9,35,7,4,51.4,1,43
"Pierre Thomas, RB",NO,147,793,5.4,34,7,6,56.6,1,36
"Beanie Wells, RB",ARI,176,793,4.5,33,4,7,49.6,4,39
"Ahmad Bradshaw, RB",NYG,163,778,4.8,38,6,7,51.9,3,46
"Laurence Maroney, RB",NE,194,757,3.9,45,2,9,50.5,3,44
"Kevin Smith, RB",DET,217,747,3.4,31,2,4,57.5,3,36
"LaDainian Tomlinson, RB",SD,223,730,3.3,36,3,12,52.1,1,40
"Felix Jones, RB",DAL,116,685,5.9,56,5,3,48.9,2,24
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Julius Jones, RB",SEA,177,663,3.7,62,4,2,47.4,0,32
"Mike Bell, RB",NO,172,654,3.8,35,4,5,50.3,2,33
"Ronnie Brown, RB",MIA,147,648,4.4,45,3,8,72.0,1,32
"Correll Buckhalter, RB",DEN,120,642,5.4,45,5,1,45.9,3,29
"LeSean McCoy, RB",PHI,155,637,4.1,66,1,4,39.8,2,28
"Justin Forsett, RB",SEA,114,619,5.4,35,6,4,38.7,2,29
"Jason Snelling, FB",ATL,142,613,4.3,31,6,4,43.8,1,37
"Tim Hightower, RB",ARI,143,598,4.2,50,2,8,37.4,5,33
"Michael Bush, RB",OAK,123,589,4.8,60,3,3,36.8,1,22
"Willis McGahee, RB",BAL,109,544,5.0,77,3,12,34.0,1,28
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Shonn Greene, RB",NYJ,108,540,5.0,33,5,2,38.6,3,24
"Jamal Lewis, RB",CLE,143,500,3.5,18,0,0,55.6,0,18
"Clinton Portis, RB",WSH,124,494,4.0,78,2,1,61.8,1,19
"Justin Fargas, RB",OAK,129,491,3.8,35,3,3,40.9,1,23
"Marshawn Lynch, RB",BUF,120,450,3.8,47,2,2,34.6,3,18
"Steve Slaton, RB",HOU,131,437,3.3,32,3,3,39.7,5,26
"Derrick Ward, RB",TB,114,409,3.6,28,3,1,29.2,0,13
"Ryan Moats, RB",HOU,101,390,3.9,17,0,4,27.9,2,25
"Reggie Bush, RB",NO,70,390,5.6,55,2,5,27.9,2,19
"Willie Parker, RB",PIT,98,389,4.0,34,2,0,27.8,2,19
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Maurice Morris, RB",DET,93,384,4.1,64,1,2,27.4,1,14
"Joshua Cribbs, WR",CLE,55,381,6.9,37,4,1,23.8,1,21
"Larry Johnson, RB",CIN/KC,132,377,2.9,19,0,0,53.9,2,17
"Darren McFadden, RB",OAK,104,357,3.4,28,1,1,29.8,4,13
"Tashard Choice, RB",DAL,64,349,5.5,66,3,3,21.8,0,20
"Darren Sproles, RB",SD,93,343,3.7,21,2,3,21.4,0,15
"Chester Taylor, RB",MIN,94,338,3.6,25,1,1,21.1,2,11
"Kevin Faulk, RB",NE,62,335,5.4,29,1,2,22.3,0,18
"Leon Washington, RB",NYJ,72,331,4.6,33,2,0,47.3,1,9
"David Garrard, QB",JAX,77,323,4.2,30,1,3,20.2,5,31
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Leonard Weaver, FB",PHI,70,323,4.6,41,1,2,20.2,0,17
"Bernard Scott, RB",CIN,74,321,4.3,61,3,0,24.7,1,15
"Sammy Morris, RB",NE,73,319,4.4,55,2,2,26.6,2,18
"Aaron Rodgers, QB",GB,58,316,5.4,35,2,5,19.8,2,25
"Vince Young, QB",TEN,55,281,5.1,44,1,2,23.4,7,20
"Donald Brown, RB",IND,78,281,3.6,45,2,3,25.5,1,14
"Brian Westbrook, RB",PHI,61,274,4.5,25,1,1,34.3,0,13
"Fred Taylor, RB",NE,63,269,4.3,19,0,4,44.8,1,13
"Chris Brown, RB",HOU,79,267,3.4,13,0,3,19.1,1,15
"Arian Foster, RB",HOU,54,257,4.8,24,1,3,42.8,0,15
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Jerious Norwood, RB",ATL,76,252,3.3,21,1,0,25.2,0,11
"Jason Campbell, QB",WSH,46,236,5.1,21,2,1,14.8,4,17
"Rock Cartwright, RB",WSH,64,228,3.6,34,1,0,14.3,0,12
"Glen Coffee, RB",SF,83,226,2.7,17,0,1,16.1,0,8
"LenDale White, RB",TEN,64,222,3.5,11,0,2,17.1,1,11
"Kahlil Bell, RB",CHI,40,220,5.5,72,2,0,31.4,0,9
"Chris Jennings, RB",CLE,63,220,3.5,16,0,1,24.4,0,10
"Ladell Betts, RB",WSH,56,210,3.8,18,0,2,21.0,0,7
"Brad Smith, WR",NYJ,18,207,11.5,57,3,1,15.9,0,10
"Larry Johnson, RB",CIN/KC,46,204,4.4,27,2,0,29.1,0,11
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Rashad Jennings, RB",JAX,39,202,5.2,28,2,1,13.5,0,8
"Quinton Ganther, RB",WSH,62,201,3.2,13,0,3,25.1,0,12
"Matt Cassel, QB",KC,50,189,3.8,13,0,0,12.6,9,6
"Le'Ron McClain, FB",BAL,46,180,3.9,20,2,2,11.3,0,22
"Jay Cutler, QB",CHI,40,173,4.3,30,1,1,10.8,4,14
"Josh Freeman, QB",TB,30,161,5.4,20,1,0,16.1,4,11
"Ahman Green, RB",GB,41,160,3.9,26,1,1,20.0,0,8
