RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
1,"Adrian Peterson, RB",MIN,348,"2,097",6.0,82,27,12,131.1,3,85
2,"Alfred Morris, RB",WSH,335,"1,613",4.8,39,9,13,100.8,4,83
3,"Marshawn Lynch, RB",SEA,315,"1,590",5.0,77,9,11,99.4,4,68
4,"Jamaal Charles, RB",KC,285,"1,509",5.3,91,11,5,94.3,5,62
5,"Doug Martin, RB",TB,319,"1,454",4.6,70,11,11,90.9,1,58
6,"Arian Foster, RB",HOU,351,"1,424",4.1,46,9,15,89.0,3,78
7,"Stevan Ridley, RB",NE,290,"1,263",4.4,41,6,12,78.9,4,82
8,"C.J. Spiller, RB",BUF,207,"1,244",6.0,62,12,6,77.8,2,52
9,"Chris Johnson, RB",TEN,276,"1,243",4.5,94,8,6,77.7,3,45
10,"Frank Gore, RB",SF,258,"1,214",4.7,37,7,8,75.9,2,67
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
11,"Ray Rice, RB",BAL,257,"1,143",4.4,46,5,9,71.4,1,51
12,"Matt Forte, RB",CHI,248,"1,094",4.4,46,6,5,72.9,2,45
 ,"BenJarvus Green-Ellis, RB",CIN,278,"1,094",3.9,48,7,6,72.9,3,54
14,"Shonn Greene, RB",NYJ,276,"1,063",3.9,36,2,8,66.4,3,52
15,"Steven Jackson, RB",STL,258,"1,045",4.1,46,5,4,65.3,0,47
16,"Ahmad Bradshaw, RB",NYG,221,"1,015",4.6,37,4,6,72.5,3,56
17,"Reggie Bush, RB",MIA,227,986,4.3,65,6,6,61.6,4,43
18,"Trent Richardson, RB",CLE,267,950,3.6,32,2,11,63.3,3,36
19,"LeSean McCoy, RB",PHI,200,840,4.2,34,7,2,70.0,4,45
20,"Robert Griffin, QB",WSH,120,815,6.8,76,6,7,54.3,9,40
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
21,"Vick Ballard, RB",IND,211,814,3.9,26,4,2,50.9,3,50
22,"Michael Turner, RB",ATL,222,800,3.6,43,5,10,50.0,3,40
23,"Mikel Leshoure, RB",DET,215,798,3.7,16,0,9,57.0,3,46
24,"Cam Newton, QB",CAR,127,741,5.8,72,9,8,46.3,4,49
25,"DeAngelo Williams, RB",CAR,173,737,4.3,65,5,5,46.1,2,32
26,"Willis McGahee, RB",DEN,167,731,4.4,31,2,4,73.1,5,43
27,"Darren McFadden, RB",OAK,216,707,3.3,64,4,2,58.9,1,33
 ,"Ryan Mathews, RB",SD,184,707,3.8,31,1,1,58.9,2,34
29,"DeMarco Murray, RB",DAL,161,663,4.1,48,5,4,66.3,2,39
30,"Jonathan Dwyer, RB",PIT,156,623,4.0,34,3,2,47.9,2,27
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
31,"Mark Ingram, RB",NO,156,602,3.9,31,4,5,37.6,0,28
32,"Bryce Brown, RB",PHI,115,564,4.9,65,6,4,35.3,4,33
33,"Bernard Pierce, RB",BAL,108,532,4.9,78,3,1,33.3,0,21
34,"Knowshon Moreno, RB",DEN,138,525,3.8,20,1,4,65.6,1,32
35,"Russell Wilson, QB",SEA,94,489,5.2,25,2,4,30.6,2,30
36,"Daryl Richardson, RB",STL,98,475,4.8,53,4,0,29.7,2,19
37,"Pierre Thomas, RB",NO,105,473,4.5,48,2,1,31.5,0,16
38,"Alex Green, RB",GB,135,464,3.4,41,2,0,38.7,0,17
39,"Fred Jackson, RB",BUF,115,437,3.8,15,0,3,43.7,4,25
 ,"Bilal Powell, RB",NYJ,110,437,4.0,18,0,4,31.2,0,23
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
41,"Donald Brown, RB",IND,108,417,3.9,19,0,1,41.7,0,20
42,"Colin Kaepernick, QB",SF,63,415,6.6,50,3,5,31.9,7,18
43,"Maurice Jones-Drew, RB",JAX,86,414,4.8,59,3,1,69.0,1,21
 ,"Joique Bell, RB",DET,82,414,5.0,67,3,3,25.9,1,16
45,"Michael Bush, RB",CHI,114,411,3.6,20,2,5,31.6,1,28
46,"Isaac Redman, RB",PIT,110,410,3.7,28,3,2,29.3,2,27
47,"Felix Jones, RB",DAL,111,402,3.6,22,1,3,25.1,1,23
48,"Andre Brown, RB",NYG,73,385,5.3,31,3,8,38.5,0,25
49,"Justin Forsett, RB",HOU,63,374,5.9,81,3,1,23.4,0,14
50,"Kendall Hunter, RB",SF,72,371,5.2,26,2,2,33.7,0,18
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
51,"Jacquizz Rodgers, RB",ATL,94,362,3.9,43,2,1,22.6,0,16
