PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Shaun Alexander, RB",SEA,370,"1,880",5.1,88,14,27,117.5,5,107
"Tiki Barber, RB",NYG,357,"1,860",5.2,95,16,9,116.3,1,72
"Larry Johnson, RB",KC,336,"1,750",5.2,49,15,20,109.4,5,97
"Clinton Portis, RB",WSH,352,"1,516",4.3,47,6,11,94.8,3,74
"Edgerrin James, RB",IND,360,"1,506",4.2,33,5,13,100.4,2,94
"LaDainian Tomlinson, RB",SD,339,"1,462",4.3,62,8,18,91.4,2,71
"Rudi Johnson, RB",CIN,337,"1,458",4.3,33,5,12,91.1,1,79
"Warrick Dunn, RB",ATL,280,"1,416",5.1,65,11,3,88.5,1,65
"Thomas Jones, RB",CHI,314,"1,335",4.3,42,12,9,89.0,2,61
"Willis McGahee, RB",BUF,325,"1,247",3.8,27,4,5,77.9,1,71
"Reuben Droughns, RB",CLE,309,"1,232",4.0,75,7,2,77.0,6,60
"Willie Parker, RB",PIT,255,"1,202",4.7,80,8,4,80.1,4,46
"Cadillac Williams, RB",TB,290,"1,178",4.1,71,7,6,84.1,3,54
"Steven Jackson, RB",STL,254,"1,046",4.1,51,6,8,69.7,3,50
"LaMont Jordan, RB",OAK,272,"1,025",3.8,26,4,9,73.2,2,61
"Mike Anderson, RB",DEN,239,"1,014",4.2,44,4,12,67.6,1,62
"Julius Jones, RB",DAL,257,993,3.9,51,4,5,76.4,4,47
"Domanick Williams, RB",HOU,230,976,4.2,44,3,2,88.7,1,39
"Tatum Bell, RB",DEN,173,921,5.3,68,10,8,61.4,3,41
"Ronnie Brown, RB",MIA,207,907,4.4,65,5,4,60.5,3,41
"Jamal Lewis, RB",BAL,269,906,3.4,25,3,3,60.4,5,48
"DeShaun Foster, RB",CAR,205,879,4.3,70,3,2,58.6,1,34
"Chris Brown, RB",TEN,224,851,3.8,38,5,5,56.7,3,37
"Fred Taylor, RB",JAX,194,787,4.1,71,1,3,71.5,0,26
"Ricky Williams, RB",MIA,168,743,4.4,35,4,6,61.9,1,37
"Curtis Martin, RB",NYJ,220,735,3.3,49,4,5,61.3,2,35
"Corey Dillon, RB",NE,209,733,3.5,29,2,12,61.1,1,49
"Kevin Jones, RB",DET,186,664,3.6,40,3,5,51.1,2,25
"Mewelde Moore, RB",MIN,155,662,4.3,33,5,1,41.4,1,32
"Antowain Smith, RB",NO,166,659,4.0,42,4,3,41.2,2,23
"Brian Westbrook, RB",PHI,156,617,4.0,31,5,3,51.4,0,27
"Frank Gore, RB",SF,127,608,4.8,72,4,3,43.4,1,26
