PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RATE,YDS/G
"Matt Schaub, QB",HOU,396,583,67.9,"4,770",8.18,72,29,15,25,98.6,298
"Peyton Manning, QB",IND,393,571,68.8,"4,500",7.88,80,33,16,10,99.9,281
"Tony Romo, QB",DAL,347,550,63.1,"4,483",8.15,80,26,9,34,97.6,280
"Aaron Rodgers, QB",GB,350,541,64.7,"4,434",8.20,83,30,7,50,103.2,277
"Tom Brady, QB",NE,371,565,65.7,"4,398",7.78,81,28,13,16,96.2,275
"Drew Brees, QB",NO,363,514,70.6,"4,388",8.54,75,34,11,20,109.6,293
"Ben Roethlisberger, QB",PIT,337,506,66.6,"4,328",8.55,60,26,12,50,100.5,289
"Philip Rivers, QB",SD,317,486,65.2,"4,254",8.75,81,28,9,25,104.4,266
"Brett Favre, QB",MIN,363,531,68.4,"4,202",7.91,63,33,7,34,107.2,263
"Eli Manning, QB",NYG,317,509,62.3,"4,021",7.90,74,27,14,30,93.1,251
"Kyle Orton, QB",DEN,336,541,62.1,"3,802",7.03,87,21,12,29,86.8,238
"Kurt Warner, QB",ARI,339,513,66.1,"3,753",7.32,45,26,14,24,93.2,250
"Jay Cutler, QB",CHI,336,555,60.5,"3,666",6.61,71,27,26,35,76.8,229
"Jason Campbell, QB",WSH,327,507,64.5,"3,618",7.14,84,20,15,43,86.4,226
"Joe Flacco, QB",BAL,315,499,63.1,"3,613",7.24,72,21,12,36,88.9,226
"David Garrard, QB",JAX,314,516,60.9,"3,597",6.97,63,15,10,42,83.5,225
"Donovan McNabb, QB",PHI,267,443,60.3,"3,553",8.02,60,22,10,35,92.9,254
"Carson Palmer, QB",CIN,282,466,60.5,"3,094",6.64,73,21,13,26,83.6,193
"Matt Hasselbeck, QB",SEA,293,488,60.0,"3,029",6.21,53,17,17,32,75.1,216
"Matt Cassel, QB",KC,271,493,55.0,"2,924",5.93,61,16,16,42,69.9,195
"Matt Ryan, QB",ATL,263,451,58.3,"2,916",6.47,90,22,14,19,80.9,208
"Chad Henne, QB",MIA,274,451,60.8,"2,878",6.38,67,12,14,26,75.2,206
"Mark Sanchez, QB",NYJ,196,364,53.8,"2,444",6.71,65,12,20,26,63.0,163
"Alex Smith, QB",SF,225,372,60.5,"2,350",6.32,73,18,12,22,81.5,214
"Matthew Stafford, QB",DET,201,377,53.3,"2,267",6.01,75,13,20,24,61.0,227
"Jake Delhomme, QB",CAR,178,321,55.5,"2,015",6.28,52,8,18,23,59.4,183
"Vince Young, QB",TEN,152,259,58.7,"1,879",7.26,66,10,7,9,82.8,157
"Josh Freeman, QB",TB,158,290,54.5,"1,855",6.40,42,10,18,20,59.8,186
"Marc Bulger, QB",STL,140,247,56.7,"1,469",5.95,50,5,6,14,70.7,163
"Ryan Fitzpatrick, QB",BUF,127,227,55.9,"1,422",6.26,98,9,10,21,69.7,142
"Brady Quinn, QB",CLE,136,256,53.1,"1,339",5.23,59,8,7,19,67.2,134
"JaMarcus Russell, QB",OAK,120,246,48.8,"1,287",5.23,86,3,11,33,50.0,107
"Kerry Collins, QB",TEN,119,216,55.1,"1,225",5.67,69,6,8,6,65.5,175
"Trent Edwards, QB",BUF,110,183,60.1,"1,169",6.39,46,6,7,23,73.8,146
"Matt Moore, QB",CAR,85,138,61.6,"1,053",7.63,66,8,2,9,98.5,150
"Bruce Gradkowski, QB",OAK,82,150,54.7,"1,007",6.71,75,6,3,11,80.6,144
"Daunte Culpepper, QB",DET,89,157,56.7,945,6.02,38,3,6,14,64.8,118
"Shaun Hill, QB",SF,87,155,56.1,943,6.08,61,5,2,18,79.6,157
"Kyle Boller, QB",STL,98,176,55.7,899,5.11,35,3,6,17,61.2,128
"Derek Anderson, QB",CLE,81,182,44.5,888,4.88,43,3,10,11,42.1,111
"Chris Redman, QB",ATL,69,119,58.0,781,6.56,50,4,3,8,78.4,130
"Kevin Kolb, QB",PHI,62,96,64.6,741,7.72,71,4,3,3,88.9,148
"Seneca Wallace, QB",SEA,78,120,65.0,700,5.83,39,3,2,9,81.9,54
"Josh Johnson, QB",TB,63,125,50.4,685,5.48,35,4,8,11,50.9,114
"Byron Leftwich, QB",TB,58,107,54.2,594,5.55,47,4,3,2,71.2,198
"Charlie Frye, QB",OAK,53,87,60.9,581,6.68,33,1,4,5,65.3,194
"Keith Null, QB",STL,73,119,61.3,566,4.76,25,3,9,13,49.9,142
"Matt Leinart, QB",ARI,51,77,66.2,435,5.65,28,0,3,2,64.6,54
"Chad Pennington, QB",MIA,51,74,68.9,413,5.58,21,1,2,6,76.0,138
"Drew Stanton, QB",DET,26,51,51.0,259,5.08,30,0,6,5,26.1,86
"Billy Volek, QB",SD,20,31,64.5,231,7.45,50,1,1,1,84.2,58
"Brodie Croyle, QB",KC,23,40,57.5,230,5.75,50,2,0,3,90.6,77
"David Carr, QB",NYG,21,33,63.6,225,6.82,37,1,0,2,93.6,38
"Tarvaris Jackson, QB",MIN,14,21,66.7,201,9.57,34,1,0,0,113.4,25
"Brian Brohm, QB",BUF,17,29,58.6,146,5.03,15,0,2,2,43.2,73
"Dennis Dixon, QB",PIT,12,26,46.2,145,5.58,33,1,1,0,60.6,145
"Todd Collins, QB",WSH,12,23,52.2,144,6.26,46,0,0,2,71.6,48
"Brian Hoyer, QB",NE,19,27,70.4,142,5.26,17,0,0,2,82.6,28
"Kellen Clemens, QB",NYJ,13,26,50.0,125,4.81,26,0,0,4,63.8,13
"Mark Brunell, QB",NO,15,30,50.0,102,3.40,18,0,1,0,44.0,6
"Michael Vick, QB",PHI,6,13,46.2,86,6.62,43,1,0,0,93.7,7
"Tyler Thigpen, QB",KC/MIA,4,8,50.0,83,10.38,34,1,2,0,87.0,83
"Curtis Painter, QB",IND,8,28,28.6,83,2.96,22,0,2,3,9.8,42
"Matt Flynn, QB",GB,7,12,58.3,58,4.83,17,0,1,1,36.1,4
"Jon Ryan, P",SEA,1,1,100.0,42,42.00,42,0,0,0,118.8,3
