PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Brandon Lloyd, WR",DEN,77,153,"1,448",18.8,11,71,23,90.5,0,198,72
"Roddy White, WR",ATL,115,179,"1,389",12.1,10,46,15,86.8,1,350,73
"Reggie Wayne, WR",IND,111,173,"1,355",12.2,6,50,13,84.7,1,410,72
"Greg Jennings, WR",GB,76,125,"1,265",16.6,12,86,21,79.1,2,415,52
"Mike Wallace, WR",PIT,60,100,"1,257",21.0,10,56,26,78.6,1,364,48
"Andre Johnson, WR",HOU,86,138,"1,216",14.1,8,60,18,93.5,1,328,59
"Dwayne Bowe, WR",KC,72,132,"1,162",16.1,15,75,19,72.6,1,371,55
"Larry Fitzgerald, WR",ARI,90,174,"1,137",12.6,6,41,14,71.1,0,187,59
"Calvin Johnson, WR",DET,77,137,"1,120",14.5,12,87,16,74.7,1,329,57
"Santana Moss, WR",WSH,93,146,"1,115",12.0,6,56,9,69.7,3,499,61
"Stevie Johnson, WR",BUF,82,143,"1,073",13.1,10,45,11,67.1,1,401,61
"DeSean Jackson, WR",PHI,47,97,"1,056",22.5,6,91,21,75.4,2,353,33
"Hakeem Nicks, WR",NYG,79,128,"1,052",13.3,11,46,20,80.9,1,297,55
"Miles Austin, WR",DAL,69,119,"1,041",15.1,7,69,17,65.1,1,437,50
"Marques Colston, WR",NO,84,133,"1,023",12.2,7,43,12,68.2,0,275,57
"Brandon Marshall, WR",MIA,86,147,"1,014",11.8,3,46,9,72.4,2,185,57
"Jason Witten, TE",DAL,94,128,"1,002",10.7,9,33,13,62.6,1,363,49
"Terrell Owens, WR",CIN,72,139,983,13.7,9,78,15,70.2,0,269,47
"Jeremy Maclin, WR",PHI,70,116,964,13.8,10,83,13,60.3,1,267,45
"Mike Williams, WR",TB,65,127,964,14.8,11,58,18,60.3,3,334,44
"Johnny Knox, WR",CHI,51,100,960,18.8,5,67,17,60.0,1,243,43
"Mario Manningham, WR",NYG,60,92,944,15.7,9,92,19,59.0,1,343,32
"Vernon Davis, TE",SF,56,93,914,16.3,7,66,16,57.1,0,380,35
"Braylon Edwards, WR",NYJ,53,102,904,17.1,7,74,14,56.5,1,290,40
"Jabar Gaffney, WR",DEN,65,112,875,13.5,2,50,12,54.7,1,203,42
"Anthony Armstrong, WR",WSH,44,86,871,19.8,3,76,15,58.1,1,170,32
"Percy Harvin, WR",MIN,71,110,868,12.2,5,53,14,62.0,0,400,41
"Chris Cooley, TE",WSH,77,127,849,11.0,3,35,9,53.1,3,380,40
"Wes Welker, WR",NE,86,122,848,9.9,7,35,6,56.5,0,411,47
"Anquan Boldin, WR",BAL,64,108,837,13.1,7,61,10,52.3,1,237,43
"Chad Johnson, WR",CIN,67,125,831,12.4,4,42,8,59.4,0,186,47
"Davone Bess, WR",MIA,79,125,820,10.4,5,29,8,51.3,0,316,43
"Mike Thomas, WR",JAX,66,102,820,12.4,4,50,13,51.3,0,299,38
"Derrick Mason, WR",BAL,61,100,802,13.1,7,42,9,50.1,0,131,44
"Pierre Garcon, WR",IND,67,119,784,11.7,6,57,7,56.0,0,254,41
"Antonio Gates, TE",SD,50,66,782,15.6,10,48,15,78.2,0,331,42
"Kenny Britt, WR",TEN,42,73,775,18.5,9,80,12,64.6,1,124,33
"Benjamin Watson, TE",CLE,68,102,763,11.2,3,44,10,47.7,0,258,40
"Lance Moore, WR",NO,66,95,763,11.6,8,80,7,47.7,1,276,40
"Hines Ward, WR",PIT,59,94,755,12.8,5,43,14,47.2,1,251,35
"Mike Williams, WR",SEA,65,110,751,11.6,2,68,8,53.6,0,214,40
"Santonio Holmes, WR",NYJ,52,94,746,14.3,6,52,11,62.2,0,229,36
"Michael Crabtree, WR",SF,55,101,741,13.5,6,60,10,46.3,0,298,40
"Kellen Winslow, TE",TB,66,98,730,11.1,5,41,10,45.6,1,241,36
"Brandon Pettigrew, TE",DET,71,111,722,10.2,4,35,8,45.1,0,355,35
"Steve Breaston, WR",ARI,47,88,718,15.3,1,37,15,55.2,0,167,32
"Malcom Floyd, WR",SD,37,77,717,19.4,6,55,12,65.2,1,118,33
"Deion Branch, WR",NE/SEA,48,74,706,14.7,5,79,9,64.2,0,234,36
"Marcedes Lewis, TE",JAX,58,88,700,12.1,10,42,9,43.8,2,271,37
"Josh Morgan, WR",SF,44,80,698,15.9,2,65,12,43.6,1,275,27
"Danny Amendola, WR",STL,85,123,689,8.1,3,36,2,43.1,1,374,35
"Nate Washington, WR",TEN,42,94,687,16.4,6,71,11,42.9,0,115,34
"Dustin Keller, TE",NYJ,55,100,687,12.5,5,41,11,42.9,0,234,33
"Zach Miller, TE",OAK,60,91,685,11.4,5,43,11,45.7,1,271,36
"James Jones, WR",GB,50,87,679,13.6,5,66,8,42.4,3,301,33
"Tony Gonzalez, TE",ATL,70,111,656,9.4,6,34,5,41.0,0,181,39
"Austin Collie, WR",IND,58,71,649,11.2,8,73,9,72.1,1,296,32
"Robert Meachem, WR",NO,44,66,638,14.5,5,55,10,39.9,0,129,27
