RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN,Points_td,Points_yds
3,"Jamaal Charles, RB",KC,259,"1,287",5,46,6,12,85.8,4,72,72,128.7
6,"Marshawn Lynch, RB",SEA,301,"1,257",4.2,43,6,12,78.6,3,68,72,125.7
8,"Eddie Lacy, RB",GB,284,"1,178",4.1,60,3,11,78.5,1,61,66,117.8
5,"Adrian Peterson, RB",MIN,279,"1,266",4.5,78,8,10,90.4,3,59,60,126.6
12,"Knowshon Moreno, RB",DEN,241,"1,038",4.3,31,5,10,64.9,1,53,60,103.8
1,"LeSean McCoy, RB",PHI,314,"1,607",5.1,57,9,9,100.4,1,79,54,160.7
2,"Matt Forte, RB",CHI,289,"1,339",4.6,55,9,9,83.7,2,74,54,133.9
10,"DeMarco Murray, RB",DAL,217,"1,121",5.2,43,8,9,80.1,2,59,54,112.1
9,"Frank Gore, RB",SF,276,"1,128",4.1,51,9,9,70.5,3,55,54,112.8
16,"Fred Jackson, RB",BUF,206,890,4.3,59,1,9,55.6,2,54,54,89
17,"Le'Veon Bell, RB",PIT,244,860,3.5,43,4,8,66.2,1,48,48,86
29,"Rashard Mendenhall, RB",ARI,217,687,3.2,28,1,8,45.8,4,43,48,68.7
32,"Joique Bell, RB",DET,166,650,3.9,20,1,8,40.6,4,43,48,65
4,"Alfred Morris, RB",WSH,276,"1,275",4.6,45,10,7,79.7,5,57,42,127.5
14,"Zac Stacy, RB",STL,250,973,3.9,40,5,7,69.5,1,47,42,97.3
21,"Stevan Ridley, RB",NE,178,773,4.3,29,3,7,55.2,3,39,42,77.3
22,"LeGarrette Blount, RB",NE,153,772,5,47,5,7,48.3,3,35,42,77.2
24,"BenJarvus Green-Ellis, RB",CIN,220,756,3.4,25,1,7,47.3,2,48,42,75.6
7,"Ryan Mathews, RB",SD,285,"1,255",4.4,51,7,6,78.4,2,54,36,125.5
11,"Chris Johnson, RB",TEN,279,"1,077",3.9,30,5,6,67.3,2,54,36,107.7
25,"Rashad Jennings, RB",OAK,163,733,4.5,80,4,6,48.9,0,34,36,73.3
37,"Steven Jackson, RB",ATL,157,543,3.5,50,3,6,45.3,0,26,36,54.3
33,"Cam Newton, QB",CAR,111,585,5.3,56,2,6,36.6,1,45,36,58.5
40,"Donald Brown, RB",IND,102,537,5.3,51,4,6,33.6,0,20,36,53.7
56,"Geno Smith, QB",NYJ,72,366,5.1,32,1,6,22.9,3,23,36,36.6
41,"Bobby Rainey, RB",CLE/TB,137,532,3.9,80,3,5,59.1,1,23,30,53.2
20,"Maurice Jones-Drew, RB",JAX,234,803,3.4,48,5,5,53.5,1,43,30,80.3
28,"Giovani Bernard, RB",CIN,170,695,4.1,35,3,5,43.4,1,32,30,69.5
53,"Darren McFadden, RB",OAK,114,379,3.3,30,4,5,37.9,1,16,30,37.9
57,"Mike Tolbert, FB",CAR,101,361,3.6,22,2,5,22.6,0,31,30,36.1
13,"Reggie Bush, RB",DET,223,"1,006",4.5,39,6,4,71.9,5,46,24,100.6
23,"Ben Tate, RB",HOU,181,771,4.3,60,3,4,55.1,4,33,24,77.1
30,"Ray Rice, RB",BAL,214,660,3.1,47,1,4,44,2,28,24,66
35,"Montee Ball, RB",DEN,120,559,4.7,45,3,4,34.9,2,35,24,55.9
73,"Brandon Jacobs, RB",NYG,58,238,4.1,37,1,4,34,1,16,24,23.8
42,"Colin Kaepernick, QB",SF,92,524,5.7,28,4,4,32.8,3,28,24,52.4
51,"Daniel Thomas, RB",MIA,109,406,3.7,55,1,4,27.1,0,17,24,40.6
62,"Shonn Greene, RB",TEN,77,295,3.8,29,2,4,26.8,0,18,24,29.5
Â ,"Andrew Luck, QB",IND,63,377,6,29,3,4,23.6,1,23,24,37.7
65,"Roy Helu, RB",WSH,62,274,4.4,24,2,4,17.1,1,18,24,27.4
99,"Christian Ponder, QB",MIN,34,151,4.4,19,0,4,16.8,3,12,24,15.1
71,"Knile Davis, RB",KC,70,242,3.5,20,1,4,15.1,1,10,24,24.2
44,"Andre Brown, RB",NYG,139,492,3.5,23,1,3,61.5,3,31,18,49.2
18,"DeAngelo Williams, RB",CAR,201,843,4.2,43,6,3,56.2,1,35,18,84.3
19,"Chris Ivory, RB",NYJ,182,833,4.6,69,8,3,55.5,2,34,18,83.3
31,"Andre Ellington, RB",ARI,118,652,5.5,80,8,3,43.5,1,27,18,65.2
43,"James Starks, RB",GB,89,493,5.5,41,6,3,37.9,1,27,18,49.3
46,"Trent Richardson, RB",CLE/IND,157,458,2.9,22,1,3,32.7,2,25,18,45.8
66,"Brandon Bolden, RB",NE,55,271,4.9,46,2,3,22.6,0,14,18,27.1
58,"Kendall Hunter, RB",SF,78,358,4.6,45,5,3,22.4,1,18,18,35.8
75,"Ryan Fitzpatrick, QB",TEN,43,225,5.2,26,1,3,20.5,1,15,18,22.5
77,"Nick Foles, QB",PHI,57,221,3.9,21,2,3,17,2,15,18,22.1
93,"Matt Asiata, RB",MIN,44,166,3.8,39,1,3,15.1,1,11,18,16.6
83,"Michael Bush, RB",CHI,63,197,3.1,40,1,3,13.1,0,10,18,19.7
96,"Cordarrelle Patterson, WR",MIN,12,158,13.2,50,3,3,9.9,0,7,18,15.8
115,"Chris Polk, RB",PHI,11,98,8.9,38,2,3,6.5,0,5,18,9.8
143,"Drew Brees, QB",NO,35,52,1.5,16,0,3,3.3,0,6,18,5.2
154,"Darrel Young, FB",WSH,12,41,3.4,19,0,3,3.2,0,7,18,4.1
15,"C.J. Spiller, RB",BUF,202,933,4.6,77,9,2,62.2,4,26,12,93.3
85,"Ahmad Bradshaw, RB",IND,41,186,4.5,27,1,2,62,0,11,12,18.6
92,"Edwin Baker, RB",CLE,43,171,4,20,1,2,57,0,11,12,17.1
34,"Terrelle Pryor, QB",OAK,83,576,6.9,93,8,2,52.4,2,27,12,57.6
26,"Lamar Miller, RB",MIA,177,709,4,49,4,2,44.3,1,26,12,70.9
61,"Michael Vick, QB",PHI,36,306,8.5,61,4,2,43.7,1,17,12,30.6
70,"Peyton Hillis, RB",NYG,73,247,3.4,27,1,2,35.3,1,12,12,24.7
36,"Pierre Thomas, RB",NO,147,549,3.7,18,0,2,34.3,0,31,12,54.9
54,"Willis McGahee, RB",CLE,138,377,2.7,16,0,2,31.4,1,28,12,37.7
48,"Bernard Pierce, RB",BAL,152,436,2.9,28,2,2,27.3,0,20,12,43.6
50,"Danny Woodhead, RB",SD,106,429,4,14,0,2,26.8,1,26,12,42.9
59,"Jacquizz Rodgers, RB",ATL,96,332,3.5,19,0,2,22.1,0,19,12,33.2
98,"Jake Locker, QB",TEN,24,155,6.5,39,1,2,22.1,3,9,12,15.5
64,"Toby Gerhart, RB",MIN,36,283,7.9,41,4,2,20.2,1,13,12,28.3
60,"Bryce Brown, RB",PHI,75,314,4.2,65,2,2,19.6,0,16,12,31.4
,"EJ Manuel, QB",BUF,53,186,3.5,19,0,2,18.6,3,14,12,18.6
69,"Jordan Todman, RB",JAX,76,256,3.4,33,1,2,16,0,16,12,25.6
78,"Darren Sproles, RB",NO,53,220,4.2,38,1,2,14.7,1,11,12,22
79,"Marcel Reece, FB",OAK,46,218,4.7,63,1,2,13.6,0,8,12,21.8
,"Joseph Randle, RB",DAL,54,164,3,19,0,2,12.6,0,7,12,16.4
88,"Andy Dalton, QB",CIN,61,183,3,12,0,2,11.4,1,15,12,18.3
103,"Antone Smith, RB",ATL,5,145,29,50,3,2,9.7,0,4,12,14.5
,"Matthew Stafford, QB",DET,37,69,1.9,14,0,2,4.3,8,12,12,6.9
138,"Anthony Dixon, RB",SF,28,56,2,9,0,2,3.5,0,5,12,5.6
47,"Doug Martin, RB",TB,127,456,3.6,28,2,1,76,1,16,6,45.6
38,"Arian Foster, RB",HOU,121,542,4.5,23,2,1,67.8,0,31,6,54.2
27,"Bilal Powell, RB",NYJ,176,697,4,39,3,1,43.6,1,35,6,69.7
,"Jonathan Grimes, RB",HOU,21,73,3.5,12,0,1,36.5,0,6,6,7.3
52,"Mark Ingram, RB",NO,78,386,4.9,34,3,1,35.1,0,18,6,38.6
39,"Russell Wilson, QB",SEA,96,539,5.6,27,4,1,33.7,2,31,6,53.9
102,"David Wilson, RB",NYG,44,146,3.3,18,0,1,29.2,2,10,6,14.6
49,"Alex Smith, QB",KC,76,431,5.7,26,5,1,28.7,3,23,6,43.1
82,"Shane Vereen, RB",NE,44,208,4.7,21,2,1,26,1,10,6,20.8
76,"Khiry Robinson, RB",NO,54,224,4.1,25,3,1,22.4,0,12,6,22.4
,"Ronnie Hillman, RB",DEN,55,218,4,19,0,1,21.8,2,13,6,21.8
68,"Benny Cunningham, RB",STL,47,261,5.6,56,2,1,18.6,2,11,6,26.1
,"Scott Tolzien, QB",GB,5,55,11,19,0,1,18.3,0,4,6,5.5
,"Ryan Tannehill, QB",MIA,40,238,6,48,3,1,14.9,3,12,6,23.8
94,"Jason Snelling, FB",ATL,44,164,3.7,17,0,1,11.7,0,9,6,16.4
,"Tavon Austin, WR",STL,9,151,16.8,65,2,1,11.6,0,3,6,15.1
97,"Ronnie Brown, RB",SD,45,157,3.5,13,0,1,9.8,0,8,6,15.7
,"Johnathan Franklin, RB",GB,19,107,5.6,51,1,1,9.7,2,7,6,10.7
,"Case Keenum, QB",HOU,14,72,5.1,22,1,1,9,0,6,6,7.2
104,"Jackie Battle, RB",TEN,36,142,3.9,37,2,1,8.9,0,7,6,14.2
,"Thaddeus Lewis, QB",BUF,24,52,2.2,8,0,1,8.7,3,3,6,5.2
125,"Josh McCown, QB",CHI,13,69,5.3,20,1,1,8.6,1,5,6,6.9
105,"Joe Flacco, QB",BAL,27,131,4.9,22,1,1,8.2,0,11,6,13.1
136,"Matt Cassel, QB",MIN,18,57,3.2,13,0,1,6.3,1,3,6,5.7
114,"Ben Roethlisberger, QB",PIT,27,99,3.7,19,0,1,6.2,3,5,6,9.9
,"Jerrel Jernigan, WR",NYG,2,57,28.5,49,1,1,3.8,0,1,6,5.7
142,"Alfonso Smith, RB",ARI,18,54,3,21,1,1,3.4,2,5,6,5.4
147,"Frank Summers, FB",BUF,12,46,3.8,16,0,1,3.1,0,3,6,4.6
148,"Jed Collins, FB",NO,15,45,3,12,0,1,2.8,0,9,6,4.5
,"John Kuhn, FB",GB,10,38,3.8,12,0,1,2.5,0,7,6,3.8
131,"Vick Ballard, RB",IND,13,63,4.8,12,0,0,63,0,4,0,6.3
112,"Trent Richardson, RB",CLE/IND,31,105,3.4,10,0,0,52.5,0,3,0,10.5
45,"Robert Griffin III, QB",WSH,86,489,5.7,26,4,0,37.6,5,24,0,48.9
Â ,"Mike James, RB",TB,60,295,4.9,24,2,0,36.9,0,14,0,29.5
,"Mike Goodson, RB",NYJ,7,61,8.7,26,1,0,30.5,0,2,0,6.1
