RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
1,"DeMarco Murray, RB",DAL,244,"1,233",5.1,51,10,7,123.3,3,60
2,"Arian Foster, RB",HOU,161,822,5.1,43,7,7,102.8,2,35
3,"Le'Veon Bell, RB",PIT,162,747,4.6,81,5,1,74.7,0,34
4,"Justin Forsett, RB",BAL,133,721,5.4,52,8,5,72.1,1,35
5,"Marshawn Lynch, RB",SEA,153,689,4.5,32,4,9,76.6,1,38
6,"LeSean McCoy, RB",PHI,173,641,3.7,28,3,2,71.2,1,36
7,"Matt Forte, RB",CHI,147,616,4.2,19,0,3,68.4,1,39
8,"Lamar Miller, RB",MIA,125,614,4.9,33,6,5,61.4,2,32
9,"Alfred Morris, RB",WSH,152,605,4.0,29,4,6,67.2,2,24
10,"Andre Ellington, RB",ARI,167,582,3.5,22,4,3,64.7,2,25
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
11,"Frank Gore, RB",SF,139,553,4.0,28,2,2,61.4,0,26
12,"Mark Ingram, RB",NO,115,551,4.8,28,3,6,91.8,0,28
13,"Chris Ivory, RB",NYJ,123,548,4.5,71,1,5,54.8,1,29
14,"Jamaal Charles, RB",KC,113,533,4.7,39,3,6,66.6,2,26
15,"Russell Wilson, QB",SEA,66,500,7.6,52,4,4,55.6,3,28
16,"Denard Robinson, RB",JAX,100,483,4.8,41,4,4,48.3,1,19
17,"Eddie Lacy, RB",GB,119,478,4.0,29,1,4,53.1,2,24
18,"Giovani Bernard, RB",CIN,109,446,4.1,89,1,5,63.7,0,21
 ,"Jerick McKinnon, RB",MIN,90,446,5.0,55,3,0,49.6,0,17
20,"Steven Jackson, RB",ATL,111,426,3.8,27,1,4,47.3,0,24
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
21,"Ahmad Bradshaw, RB",IND,83,421,5.1,29,3,2,46.8,2,18
22,"Knile Davis, RB",KC,106,411,3.9,48,3,4,45.7,3,18
23,"Jeremy Hill, RB",CIN,86,404,4.7,60,1,5,44.9,1,25
24,"Rashad Jennings, RB",NYG,91,396,4.4,18,0,2,79.2,0,26
 ,"Terrance West, RB",CLE,107,396,3.7,29,2,3,49.5,0,19
26,"Trent Richardson, RB",IND,108,391,3.6,27,1,2,48.9,2,17
27,"Bobby Rainey, RB",TB,87,388,4.5,31,4,1,43.1,1,20
28,"Ronnie Hillman, RB",DEN,91,378,4.2,37,3,3,54.0,1,16
29,"Darren McFadden, RB",OAK,105,372,3.5,17,0,2,41.3,1,15
30,"Branden Oliver, RB",SD,98,371,3.8,52,2,2,53.0,0,19
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
31,"Chris Johnson, RB",NYJ,85,360,4.2,35,2,1,36.0,1,11
32,"Joique Bell, RB",DET,108,357,3.3,17,0,3,44.6,2,19
 ,"Bishop Sankey, RB",TEN,91,357,3.9,22,1,1,39.7,0,18
34,"Ben Tate, RB",CLE,104,342,3.3,25,1,4,48.9,0,15
35,"Stevan Ridley, RB",NE,94,340,3.6,43,1,2,56.7,0,16
36,"Andre Williams, RB",NYG,114,335,2.9,23,2,4,37.2,1,16
37,"Khiry Robinson, RB",NO,64,330,5.2,62,2,2,55.0,1,21
38,"Shane Vereen, RB",NE,69,310,4.5,19,0,1,34.4,0,12
39,"Jonathan Stewart, RB",CAR,77,299,3.9,22,1,2,42.7,0,21
40,"Colin Kaepernick, QB",SF,58,298,5.1,23,2,0,33.1,3,14
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
41,"Isaiah Crowell, RB",CLE,64,297,4.6,24,2,5,33.0,2,18
42,"C.J. Spiller, RB",BUF,69,287,4.2,53,3,0,41.0,2,11
43,"Anthony Dixon, RB",BUF,68,278,4.1,47,2,0,27.8,0,7
44,"Matt Asiata, RB",MIN,84,277,3.3,12,0,6,30.8,1,15
45,"Tre Mason, RB",STL,63,270,4.3,28,3,1,54.0,1,17
46,"LeGarrette Blount, RB",PIT,65,266,4.1,50,1,2,26.6,1,16
47,"Cam Newton, QB",CAR,59,263,4.5,14,0,2,29.2,2,21
48,"Ryan Tannehill, QB",MIA,37,261,7.1,40,4,0,26.1,3,14
49,"Zac Stacy, RB",STL,66,257,3.9,16,0,1,32.1,2,12
 ,"Lorenzo Taliaferro, RB",BAL,61,257,4.2,31,3,4,25.7,1,16
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
51,"Fred Jackson, RB",BUF,58,249,4.3,38,1,1,31.1,0,11
52,"Darren Sproles, RB",PHI,36,236,6.6,49,2,4,29.5,2,11
53,"Alfred Blue, RB",HOU,68,234,3.4,46,1,0,26.0,0,10
54,"Bernard Pierce, RB",BAL,64,229,3.6,17,0,2,32.7,1,15
55,"Carlos Hyde, RB",SF,54,214,4.0,15,0,3,23.8,0,11
56,"Blake Bortles, QB",JAX,34,204,6.0,32,2,0,25.5,3,15
57,"James Starks, RB",GB,49,203,4.1,17,0,1,22.6,0,10
58,"Joseph Randle, RB",DAL,29,201,6.9,40,2,1,20.1,1,7
59,"Shonn Greene, RB",TEN,49,199,4.1,20,1,1,28.4,1,9
60,"Reggie Bush, RB",DET,53,191,3.6,26,1,1,27.3,0,4
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
61,"Alex Smith, QB",KC,31,187,6.0,25,1,1,20.8,1,9
62,"Benjamin Cunningham, RB",STL,48,185,3.9,18,0,3,20.6,0,11
63,"Montee Ball, RB",DEN,55,172,3.1,23,1,1,43.0,1,9
 ,"C.J. Anderson, RB",DEN,30,172,5.7,17,0,0,21.5,0,11
65,"Roy Helu, RB",WSH,33,169,5.1,18,0,1,18.8,0,8
66,"Doug Martin, RB",TB,58,166,2.9,19,0,1,33.2,0,11
67,"DeAngelo Williams, RB",CAR,46,157,3.4,17,0,0,39.3,1,5
68,"Toby Gerhart, RB",JAX,59,154,2.6,13,0,1,19.3,1,12
69,"Michael Vick, QB",NYJ,24,149,6.2,24,1,0,18.6,2,10
 ,"Donald Brown, RB",SD,63,149,2.4,16,0,0,24.8,0,6
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
71,"Knowshon Moreno, RB",MIA,31,148,4.8,15,0,1,49.3,0,8
 ,"Robert Turbin, RB",SEA,32,148,4.6,17,0,0,16.4,1,6
73,"Antone Smith, RB",ATL,23,144,6.3,48,2,2,16.0,1,6
74,"Ryan Fitzpatrick, QB",HOU,36,143,4.0,16,0,1,15.9,2,10
 ,"Ka'Deem Carey, RB",CHI,30,143,4.8,15,0,0,15.9,0,10
76,"Geno Smith, QB",NYJ,35,139,4.0,17,0,1,17.4,3,14
77,"Daniel Thomas, RB",MIA,37,138,3.7,15,0,0,19.7,1,6
78,"Pierre Thomas, RB",NO,30,133,4.4,27,1,2,22.2,0,8
79,"Jonas Gray, RB",NE,32,131,4.1,19,0,0,43.7,0,6
80,"Andrew Luck, QB",IND,35,129,3.7,15,0,2,14.3,3,10
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
81,"Juwan Thompson, RB",DEN,30,121,4.0,16,0,3,13.4,1,11
82,"Devonta Freeman, RB",ATL,29,119,4.1,24,1,0,13.2,1,4
83,"Peyton Hillis, RB",NYG,26,115,4.4,16,0,0,12.8,0,4
84,"Aaron Rodgers, QB",GB,19,112,5.9,16,0,1,12.4,1,10
85,"Cordarrelle Patterson, WR",MIN,7,110,15.7,67,2,1,12.2,0,4
86,"Jake Locker, QB",TEN,18,107,5.9,29,1,1,26.8,1,7
87,"Christine Michael, RB",SEA,14,104,7.4,45,1,0,26.0,0,5
88,"Jay Cutler, QB",CHI,27,103,3.8,25,1,1,11.4,3,9
89,"Bilal Powell, RB",NYJ,22,102,4.6,15,0,1,10.2,0,5
90,"Damien Williams, RB",MIA,31,100,3.2,19,0,0,10.0,0,5
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
91,"Teddy Bridgewater, QB",MIN,19,95,5.0,16,0,1,15.8,0,8
92,"Jacquizz Rodgers, RB",ATL,24,94,3.9,17,0,1,10.4,1,6
93,"Percy Harvin, WR",NYJ/SEA,11,92,8.4,51,1,1,18.4,0,4
94,"Andy Dalton, QB",CIN,30,86,2.9,20,1,2,9.6,0,12
95,"Tavon Austin, WR",STL,18,82,4.6,18,0,0,10.3,0,4
96,"Derek Carr, QB",OAK,13,81,6.2,41,1,0,9.0,1,6
97,"Darrin Reaves, RB",CAR,32,77,2.4,9,0,0,12.8,0,3
98,"Dexter McCluster, RB",TEN,24,76,3.2,16,0,0,8.4,0,3
99,"Adrian Peterson, RB",MIN,21,75,3.6,17,0,0,75.0,0,3
100,"Chris Polk, RB",PHI,16,74,4.6,22,1,1,10.6,0,5
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Daniel Herron, RB",IND,22,74,3.4,13,0,0,8.2,0,5
102,"Josh McCown, QB",TB,10,72,7.2,15,0,2,18.0,0,7
 ,"Philip Rivers, QB",SD,24,72,3.0,17,0,0,8.0,4,7
104,"Ryan Mathews, RB",SD,23,71,3.1,20,1,1,35.5,1,6
105,"Percy Harvin, WR",NYJ/SEA,11,69,6.3,13,0,0,23.0,0,4
106,"Matt Ryan, QB",ATL,15,68,4.5,12,0,0,7.6,0,5
 ,"Nick Foles, QB",PHI,16,68,4.3,14,0,0,8.5,1,6
 ,"Brandin Cooks, WR",NO,6,68,11.3,28,1,1,7.6,0,4
109,"George Winn, RB",DET,17,66,3.9,16,0,0,13.2,0,4
110,"Maurice Jones-Drew, RB",OAK,29,64,2.2,12,0,0,9.1,1,1
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"DuJuan Harris, RB",GB,16,64,4.0,12,0,0,7.1,0,5
 ,"Bryce Brown, RB",BUF,20,64,3.2,14,0,0,21.3,1,4
 ,"Storm Johnson, RB",JAX,20,64,3.2,20,1,2,21.3,0,4
114,"Stepfan Taylor, RB",ARI,18,63,3.5,13,0,1,9.0,0,4
115,"Jorvorskie Lane, FB",TB,2,56,28.0,54,1,0,8.0,0,1
116,"Lance Dunbar, RB",DAL,19,54,2.8,13,0,0,5.4,0,3
 ,"Fozzy Whittaker, RB",CAR,15,54,3.6,17,0,1,13.5,0,2
118,"Julian Edelman, WR",NE,6,53,8.8,17,0,0,5.9,0,5
119,"EJ Manuel, QB",BUF,16,52,3.3,8,0,1,13.0,0,2
120,"Jonathan Dwyer, RB",ARI,16,51,3.2,20,1,1,25.5,0,3
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
121,"De'Anthony Thomas, RB",KC,4,51,12.8,26,1,1,10.2,0,2
122,"John Kuhn, FB",GB,15,50,3.3,7,0,1,5.6,0,1
 ,"Charlie Whitehurst, QB",TEN,11,50,4.5,23,1,0,12.5,1,2
 ,"Chris Ogbonnaya, RB",CLE/CAR,14,50,3.6,9,0,1,10.0,0,3
125,"Mike Glennon, QB",TB,10,49,4.9,19,0,0,8.2,1,3
126,"Robert Griffin, QB",WSH,12,48,4.0,14,0,0,16.0,2,3
127,"Jordan Todman, RB",JAX,13,46,3.5,10,0,0,4.6,0,2
 ,"Silas Redd, RB",WSH,9,46,5.1,14,0,1,5.8,0,3
129,"Matthew Stafford, QB",DET,28,44,1.6,10,0,2,4.9,1,4
 ,"Kendall Wright, WR",TEN,3,44,14.7,38,1,0,4.9,0,1
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
131,"Dri Archer, RB",PIT,8,41,5.1,15,0,0,5.1,0,2
132,"Mohamed Sanu, WR",CIN,4,40,10.0,26,1,0,4.4,0,1
133,"Tony Romo, QB",DAL,14,39,2.8,21,1,0,4.3,2,3
134,"Danny Woodhead, RB",SD,15,38,2.5,13,0,0,12.7,0,2
 ,"James White, RB",NE,9,38,4.2,11,0,0,19.0,0,1
136,"Mike James, RB",TB,19,37,1.9,9,0,0,4.6,0,4
137,"Drew Brees, QB",NO,15,36,2.4,13,0,1,4.0,1,5
 ,"Austin Davis, QB",STL,16,36,2.3,12,0,0,4.0,1,1
139,"Leon Washington, RB",TEN,5,35,7.0,16,0,0,3.9,0,0
 ,"Joe Flacco, QB",BAL,20,35,1.8,13,0,0,3.5,1,9
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
141,"Eli Manning, QB",NYG,9,34,3.8,18,0,1,3.8,0,3
142,"Alshon Jeffery, WR",CHI,6,33,5.5,12,0,0,3.7,1,1
 ,"Michael Cox, RB",NYG,4,33,8.3,17,0,0,8.3,0,1
 ,"Theo Riddick, RB",DET,15,33,2.2,6,0,0,4.7,0,1
 ,"Philly Brown, WR",CAR,3,33,11.0,14,0,0,4.7,0,1
146,"Cyrus Gray, RB",KC,8,31,3.9,6,0,1,3.4,0,1
147,"Trey Watts, RB",STL,7,30,4.3,9,0,0,4.3,0,2
